Annual Total,Total Energy Net Imports
1949,-0.143602
1950,0.447565
1951,-0.729119
1952,-0.219147
1953,0.447029
1954,0.651575
1955,0.504399
1956,0.261364
1957,0.089541
1958,1.834533
1959,2.54247
1960,2.710151
1961,3.060316
1962,3.521744
1963,3.251471
1964,3.632635
1965,4.063003
1966,4.316764
1967,4.043753
1968,4.906625
1969,5.550558
1970,5.70948
1971,7.383872
1972,9.268831
1973,12.580059
1974,12.100909
1975,11.709137
1976,14.588371
1977,17.89624
1978,17.185733
1979,16.604703
1980,12.101464
1981,9.411786
1982,7.253481
1983,8.058872
1984,8.684579
1985,7.584397
1986,10.129923
1987,11.586273
1988,12.929477
1989,14.105399
1990,14.064775
1991,13.193856
1992,14.435263
1993,16.991662
1994,18.271388
1995,17.683719
1996,19.020704
1997,20.625845
1998,22.235774
1999,23.482793
2000,24.903597
2001,26.321066
2002,25.722303
2003,26.993817
2004,29.140891
2005,30.197382
2006,29.921453
2007,29.340725
2008,26.021185
2009,22.770155
2010,21.689881
2011,18.375311
2012,15.800794
2013,12.83502
2014,10.971211
2015,10.891521
2016,11.474011