Number of charts from data,Chart Type:,Chart Title:,Data Source:,Notes from Kelly:,,,,,,,,
1,Bar Plot,2016 US Annual Primary Energy Production by Source,Data: US EIA July 2017 Monthly Energy Review,,,,,,,,,
2,Bar Plot,2016 US Annual Primary Energy Consumption by Source,Data: US EIA July 2017 Monthly Energy Review,,,,,,,,,
3,Bar Plot,2016 US Net Electricity Generation,Data: US EIA July 2017 Monthly Energy Review,,,,,,,,,
,,,,,,,,,,,,
Table 1.2 Primary Energy Production by Source,,,,,,,,,,,,
,,,,,,,,,,,,
Annual Total,Coal Production,Natural Gas (Dry) Production,Crude Oil Production,Natural Gas Plant Liquids Production,Nuclear Electric Power Production,Hydroelectric Power Production,Geothermal Energy Production,Solar Energy Production,Wind Energy Production,Biomass Energy Production,,
,(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),,
2016,14.577842,27.411845,18.585724,4.735088,8.422112,2.477264,0.225808,0.587096,2.114221,4.815796,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 1.3 Primary Energy Consumption by Source,,,,,,,,,,,,
,,,,,,,,,,,,
Annual Total,Coal Consumption,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Petroleum Consumption (Excluding Biofuels),Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Biomass Energy Consumption,,
,(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),,
2016,14.226519,28.41907,35.94246,78.568908,8.422112,2.477264,0.225808,0.587096,2.114221,4.756372,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 7.2b Electricity Net Generation: Electric Power Sector,,,,,,,,,,,,
,,,,,,,,,,,,
,"Electricity Net Generation From Coal, Electric Power Sector","Electricity Net Generation From Petroleum, Electric Power Sector","Electricity Net Generation From Natural Gas, Electric Power Sector","Electricity Net Generation From Other Gases, Electric Power Sector","Electricity Net Generation From Nuclear Electric Power, Electric Power Sector","Electricity Net Generation From Hydroelectric Pumped Storage, Electric Power Sector","Electricity Net Generation From Conventional Hydroelectric Power, Electric Power Sector","Electricity Net Generation From Wood, Electric Power Sector","Electricity Net Generation From Waste, Electric Power Sector","Electricity Net Generation From Geothermal, Electric Power Sector","Electricity Net Generation From Solar, Electric Power Sector","Electricity Net Generation From Wind, Electric Power Sector"
,(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours)
2016,1230441.748,22325.488,1280317.281,4066.333,805327.221,-6686.127,264470.322,13425.467,18496.216,17416.928,36157.118,226652.703